;ts_start;ts_stop;sciName;comName_en;confidence;comName;speciesCode;category;taxonOrder;bandingCodes;comNameCodes;sciNameCodes;order;familyCode;familyComName;familySciName;extinct;extinctYear;photo_url
0;0.0;3.0;Manacus manacus;White-bearded Manakin;0.1283465;Manakin casse-noisette;whbman1;species;15124.0;[];['WBMA'];['MAMA'];Passeriformes;piprid1;Manakins;Pipridae;;;https://upload.wikimedia.org/wikipedia/commons/7/7e/Manacus_manacus.jpg
1;0.0;3.0;Ramphocaenus melanurus;Long-billed Gnatwren;0.114468165;Microbate à long bec;lobgna5;species;26162.0;['LBGN'];['LBG', 'TRGN'];['RAME'];Passeriformes;poliop1;Gnatcatchers;Polioptilidae;;;https://upload.wikimedia.org/wikipedia/commons/d/db/Long-billed_Gnatwren.jpg
2;6.0;9.0;Bubo bubo;Eurasian Eagle-Owl;0.82865655;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
3;9.0;12.0;Strix nebulosa;Great Gray Owl;0.34541637;Chouette lapone;grgowl;species;8796.0;['GGOW'];[];['STNE'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/b/b9/Strix_nebulosaRB.jpg
4;12.0;15.0;Corvus cryptoleucus;Chihuahuan Raven;0.14434925;Corbeau à cou blanc;chirav;species;20780.0;['CHRA'];[];['COCR'];Passeriformes;corvid1;Crows, Jays, and Magpies;Corvidae;;;https://upload.wikimedia.org/wikipedia/commons/1/16/Corvus_cryptoleucus_Arizona_2.jpg
5;12.0;15.0;Bubo bubo;Eurasian Eagle-Owl;0.13522372;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
6;15.0;18.0;Lophostrix cristata;Crested Owl;0.15307117;Duc à aigrettes;creowl1;species;8464.0;['CROW'];[];['LOCR'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/18/Lophostrix_cristata_-Panama-8.jpg
7;18.0;21.0;Bubo bubo;Eurasian Eagle-Owl;0.30211702;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
8;21.0;24.0;Ptilinopus magnificus;Wompoo Fruit-Dove;0.47599596;Ptilope magnifique;wofdov1;species;2559.0;[];['WOFD', 'WFDO'];['PTMA'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/b/be/Ptilinopus_magnificus_-North_Queensland%2C_Australia-8.jpg
9;36.0;39.0;Geococcyx californianus;Greater Roadrunner;0.10210116;Grand Géocoucou;greroa;species;2976.0;['GRRO'];[];['GECA'];Cuculiformes;cuculi1;Cuckoos;Cuculidae;;;https://upload.wikimedia.org/wikipedia/commons/f/fc/Geococcyx_californianus.jpg
10;39.0;42.0;Bubo bubo;Eurasian Eagle-Owl;0.9800657;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
11;45.0;48.0;Geococcyx californianus;Greater Roadrunner;0.7339257;Grand Géocoucou;greroa;species;2976.0;['GRRO'];[];['GECA'];Cuculiformes;cuculi1;Cuckoos;Cuculidae;;;https://upload.wikimedia.org/wikipedia/commons/f/fc/Geococcyx_californianus.jpg
12;45.0;48.0;Patagioenas flavirostris;Red-billed Pigeon;0.13344361;Pigeon à bec rouge;rebpig1;species;1930.0;['RBPI'];[];['PAFL'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/5/5a/Patagioenas_flavirostris_-Costa_Rica-8.jpg
13;48.0;51.0;Ptilinopus magnificus;Wompoo Fruit-Dove;0.26920742;Ptilope magnifique;wofdov1;species;2559.0;[];['WOFD', 'WFDO'];['PTMA'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/b/be/Ptilinopus_magnificus_-North_Queensland%2C_Australia-8.jpg
14;48.0;51.0;Ciccaba virgata;Mottled Owl;0.2029582;Chouette mouchetée;motowl;species;8712.0;['MOOW'];[];['CIVI'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/d/df/Mottled_Owl.jpg
15;51.0;54.0;Ptilinopus magnificus;Wompoo Fruit-Dove;0.26102236;Ptilope magnifique;wofdov1;species;2559.0;[];['WOFD', 'WFDO'];['PTMA'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/b/be/Ptilinopus_magnificus_-North_Queensland%2C_Australia-8.jpg
16;51.0;54.0;Ciccaba virgata;Mottled Owl;0.12707464;Chouette mouchetée;motowl;species;8712.0;['MOOW'];[];['CIVI'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/d/df/Mottled_Owl.jpg
17;54.0;57.0;Lophostrix cristata;Crested Owl;0.12201123;Duc à aigrettes;creowl1;species;8464.0;['CROW'];[];['LOCR'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/18/Lophostrix_cristata_-Panama-8.jpg
18;57.0;60.0;Ptilinopus magnificus;Wompoo Fruit-Dove;0.24789953;Ptilope magnifique;wofdov1;species;2559.0;[];['WOFD', 'WFDO'];['PTMA'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/b/be/Ptilinopus_magnificus_-North_Queensland%2C_Australia-8.jpg
19;57.0;60.0;Ciccaba virgata;Mottled Owl;0.11414978;Chouette mouchetée;motowl;species;8712.0;['MOOW'];[];['CIVI'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/d/df/Mottled_Owl.jpg
20;60.0;63.0;Columba livia;Rock Pigeon;0.45774165;Pigeon biset;rocpig;species;1827.0;[];['ROPI', 'MN', 'RP', 'RODO'];['COLI'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/f/f3/Kabootar_Kordestan.jpg
21;60.0;63.0;Ptilinopus magnificus;Wompoo Fruit-Dove;0.23008421;Ptilope magnifique;wofdov1;species;2559.0;[];['WOFD', 'WFDO'];['PTMA'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/b/be/Ptilinopus_magnificus_-North_Queensland%2C_Australia-8.jpg
22;63.0;66.0;Columba livia;Rock Pigeon;0.16387676;Pigeon biset;rocpig;species;1827.0;[];['ROPI', 'MN', 'RP', 'RODO'];['COLI'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/f/f3/Kabootar_Kordestan.jpg
23;66.0;69.0;Columba livia;Rock Pigeon;0.4089157;Pigeon biset;rocpig;species;1827.0;[];['ROPI', 'MN', 'RP', 'RODO'];['COLI'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/f/f3/Kabootar_Kordestan.jpg
24;69.0;72.0;Lophostrix cristata;Crested Owl;0.22210996;Duc à aigrettes;creowl1;species;8464.0;['CROW'];[];['LOCR'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/18/Lophostrix_cristata_-Panama-8.jpg
25;72.0;75.0;Bubo bubo;Eurasian Eagle-Owl;0.82052606;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
26;87.0;90.0;Bubo bubo;Eurasian Eagle-Owl;0.95610934;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
27;87.0;90.0;Ptilinopus magnificus;Wompoo Fruit-Dove;0.13343388;Ptilope magnifique;wofdov1;species;2559.0;[];['WOFD', 'WFDO'];['PTMA'];Columbiformes;columb2;Pigeons and Doves;Columbidae;;;https://upload.wikimedia.org/wikipedia/commons/b/be/Ptilinopus_magnificus_-North_Queensland%2C_Australia-8.jpg
28;96.0;99.0;Bubo bubo;Eurasian Eagle-Owl;0.89814985;Grand-duc d'Europe;eueowl1;species;8496.0;[];['EEOW', 'EUEO'];['BUBU'];Strigiformes;strigi1;Owls;Strigidae;;;https://upload.wikimedia.org/wikipedia/commons/1/14/Bubo_bubo_3_%28Martin_Mecnarowski%29.jpg
