Code,comNames_en,sciName
skylar,Eurasian Skylark,Alauda arvensis
hawgoo,Hawaiian Goose,Branta sandvicensis
hawhaw,Hawaiian Hawk,Buteo solitarius
yefcan,Yellow-fronted Canary,Crithagra mozambica
elepai,Hawaii Elepaio,Chasiempis sandwichensis
hawama,Hawaii Amakihi,Chlorodrepanis virens
iiwi,Iiwi,Drepanis coccinea
houfin,House Finch,Haemorhous mexicanus
akiapo,Akiapolaau,Hemignathus wilsoni
apapan,Apapane,Himatione sanguinea
jabwar,Javan Bush Warbler,Locustella montis
barpet,Band-rumped Storm-Petrel,Hydrobates castro
hawcre,Hawaii Creeper,Loxops mana
aniani,Anianiau,Magumma parva
omao,Omao,Myadestes obscurus
puaioh,Puaiohi,Myadestes palmeri
crehon,Akohekohe,Palmeria dolei
maupar,Maui Parrotbill,Pseudonestor xanthophrys
ercfra,Erckel's Francolin,Pternistis erckelii
hawpet1,Hawaiian Petrel,Pterodroma sandwichensis
warwhe1,Warbling White-eye,Zosterops japonicus
